"","Year","Month","Run","Salvage.Total","Total.Exports","OMR","Total.exports.z","OMR.z","Discharge.z"
"92",1994,"October","LateFall",0,5249.290322,-2512.645161,0.150937616251236,-0.624242708576492,-1.01624118392203
"97",1995,"April","LateFall",0,141.962963,6954.333333,-1.58463075438712,1.35570919418307,1.66188224114307
"98",1995,"April","Spring",6848,141.962963,6954.333333,-1.58463075438712,1.35570919418307,1.66188224114307
"99",1995,"April","Winter",384,141.962963,6954.333333,-1.58463075438712,1.35570919418307,1.66188224114307
"100",1995,"April","Fall",2076,141.962963,6954.333333,-1.58463075438712,1.35570919418307,1.66188224114307
"105",1995,"December","Spring",0,42.83870968,-2395.83871,-1.6183150880381,-0.599813461688626,-0.185972852759764
"106",1995,"December","Fall",12,42.83870968,-2395.83871,-1.6183150880381,-0.599813461688626,-0.185972852759764
"107",1995,"December","LateFall",48,42.83870968,-2395.83871,-1.6183150880381,-0.599813461688626,-0.185972852759764
"108",1995,"December","Winter",36,42.83870968,-2395.83871,-1.6183150880381,-0.599813461688626,-0.185972852759764
"117",1995,"July","LateFall",0,5908.37931,-3312.806452,0.374908769968865,-0.791590809307268,-0.339126287383525
"118",1995,"July","Fall",1180,5908.37931,-3312.806452,0.374908769968865,-0.791590809307268,-0.339126287383525
"119",1995,"July","Spring",0,5908.37931,-3312.806452,0.374908769968865,-0.791590809307268,-0.339126287383525
"120",1995,"July","Winter",0,5908.37931,-3312.806452,0.374908769968865,-0.791590809307268,-0.339126287383525
"121",1995,"June","Fall",25001,3345.448276,-241.0633333,-0.496024641201549,-0.149157361664678,0.436065712481354
"122",1995,"June","Spring",7453,3345.448276,-241.0633333,-0.496024641201549,-0.149157361664678,0.436065712481354
"123",1995,"June","LateFall",0,3345.448276,-241.0633333,-0.496024641201549,-0.149157361664678,0.436065712481354
"124",1995,"June","Winter",0,3345.448276,-241.0633333,-0.496024641201549,-0.149157361664678,0.436065712481354
"125",1995,"March","LateFall",0,452.6551724,5115.903226,-1.47905154754654,0.971214480188309,2.15727469698377
"126",1995,"March","Fall",296,452.6551724,5115.903226,-1.47905154754654,0.971214480188309,2.15727469698377
"127",1995,"March","Winter",34,452.6551724,5115.903226,-1.47905154754654,0.971214480188309,2.15727469698377
"128",1995,"March","Spring",336,452.6551724,5115.903226,-1.47905154754654,0.971214480188309,2.15727469698377
"129",1995,"May","LateFall",0,1253.193548,7361.290323,-1.20701316298417,1.44082138358991,1.52345509831005
"130",1995,"May","Fall",13590,1253.193548,7361.290323,-1.20701316298417,1.44082138358991,1.52345509831005
"131",1995,"May","Spring",14415,1253.193548,7361.290323,-1.20701316298417,1.44082138358991,1.52345509831005
"132",1995,"May","Winter",16,1253.193548,7361.290323,-1.20701316298417,1.44082138358991,1.52345509831005
"133",1995,"November","LateFall",0,1328.466667,-2734.333333,-1.18143390492751,-0.670607229025004,-0.845710724985193
"134",1995,"November","Spring",0,1328.466667,-2734.333333,-1.18143390492751,-0.670607229025004,-0.845710724985193
"135",1995,"November","Winter",0,1328.466667,-2734.333333,-1.18143390492751,-0.670607229025004,-0.845710724985193
"136",1995,"November","Fall",0,1328.466667,-2734.333333,-1.18143390492751,-0.670607229025004,-0.845710724985193
"145",1996,"April","Spring",20144,4178.3,74,-0.213005557441654,-0.083264083608489,0.310008654752567
"146",1996,"April","Winter",40,4178.3,74,-0.213005557441654,-0.083264083608489,0.310008654752567
"147",1996,"April","LateFall",12,4178.3,74,-0.213005557441654,-0.083264083608489,0.310008654752567
"148",1996,"April","Fall",1485,4178.3,74,-0.213005557441654,-0.083264083608489,0.310008654752567
"153",1996,"December","LateFall",42,7847.647312,-1411.064516,1.03390945073221,-0.393854872004011,1.20242193727179
"154",1996,"December","Spring",0,7847.647312,-1411.064516,1.03390945073221,-0.393854872004011,1.20242193727179
"155",1996,"December","Winter",36,7847.647312,-1411.064516,1.03390945073221,-0.393854872004011,1.20242193727179
"156",1996,"December","Fall",40,7847.647312,-1411.064516,1.03390945073221,-0.393854872004011,1.20242193727179
"157",1996,"February","Winter",386,6566.103448,142.137931,0.598416121324875,-0.0690135150433387,2.18437107387874
"158",1996,"February","Spring",28,6566.103448,142.137931,0.598416121324875,-0.0690135150433387,2.18437107387874
"159",1996,"February","LateFall",12,6566.103448,142.137931,0.598416121324875,-0.0690135150433387,2.18437107387874
"160",1996,"February","Fall",870,6566.103448,142.137931,0.598416121324875,-0.0690135150433387,2.18437107387874
"173",1996,"March","Fall",24,3395.7096778,3977.714286,-0.478944847192593,0.733170276445673,1.45159079437121
"174",1996,"March","LateFall",0,3395.7096778,3977.714286,-0.478944847192593,0.733170276445673,1.45159079437121
"175",1996,"March","Spring",431,3395.7096778,3977.714286,-0.478944847192593,0.733170276445673,1.45159079437121
"176",1996,"March","Winter",73,3395.7096778,3977.714286,-0.478944847192593,0.733170276445673,1.45159079437121
"177",1996,"May","Spring",7766,4642.612904,-344,-0.0552230748205628,-0.170685840812018,0.41427080063105
"178",1996,"May","Fall",13740,4642.612904,-344,-0.0552230748205628,-0.170685840812018,0.41427080063105
"179",1996,"May","Winter",12,4642.612904,-344,-0.0552230748205628,-0.170685840812018,0.41427080063105
"180",1996,"May","LateFall",0,4642.612904,-344,-0.0552230748205628,-0.170685840812018,0.41427080063105
"205",1997,"February","Spring",21,2130.1428569,20630.71429,-0.909008869114508,4.21602798711566,1.40682286732734
"206",1997,"February","Fall",18,2130.1428569,20630.71429,-0.909008869114508,4.21602798711566,1.40682286732734
"207",1997,"February","Winter",0,2130.1428569,20630.71429,-0.909008869114508,4.21602798711566,1.40682286732734
"208",1997,"February","LateFall",0,2130.1428569,20630.71429,-0.909008869114508,4.21602798711566,1.40682286732734
"209",1997,"January","LateFall",7,4766.444444,21080.32258,-0.013142728485857,4.31006039564455,2.80405343243334
"210",1997,"January","Spring",0,4766.444444,21080.32258,-0.013142728485857,4.31006039564455,2.80405343243334
"211",1997,"January","Winter",1,4766.444444,21080.32258,-0.013142728485857,4.31006039564455,2.80405343243334
"212",1997,"January","Fall",178,4766.444444,21080.32258,-0.013142728485857,4.31006039564455,2.80405343243334
"221",1997,"March","Spring",17015,7023.466667,1107.935484,0.753836966904893,0.13297624377515,-0.321454737234629
"222",1997,"March","LateFall",0,7023.466667,1107.935484,0.753836966904893,0.13297624377515,-0.321454737234629
"223",1997,"March","Winter",337,7023.466667,1107.935484,0.753836966904893,0.13297624377515,-0.321454737234629
"224",1997,"March","Fall",249,7023.466667,1107.935484,0.753836966904893,0.13297624377515,-0.321454737234629
"225",1997,"May","LateFall",0,3074.83871,-2312.612903,-0.587982992513052,-0.582407370079483,-0.893777341390189
"226",1997,"May","Spring",1589,3074.83871,-2312.612903,-0.587982992513052,-0.582407370079483,-0.893777341390189
"227",1997,"May","Fall",14361,3074.83871,-2312.612903,-0.587982992513052,-0.582407370079483,-0.893777341390189
"228",1997,"May","Winter",0,3074.83871,-2312.612903,-0.587982992513052,-0.582407370079483,-0.893777341390189
"241",1998,"April","Fall",2068,1393.10217066,9883.666667,-1.15946951379153,1.9683586379466,1.29843735974745
"242",1998,"April","LateFall",0,1393.10217066,9883.666667,-1.15946951379153,1.9683586379466,1.29843735974745
"243",1998,"April","Spring",10508,1393.10217066,9883.666667,-1.15946951379153,1.9683586379466,1.29843735974745
"244",1998,"April","Winter",12,1393.10217066,9883.666667,-1.15946951379153,1.9683586379466,1.29843735974745
"249",1998,"December","Fall",0,2168.00000023,40.62580645,-0.896144281445091,-0.0902440612290432,0.891991706322856
"250",1998,"December","Winter",4,2168.00000023,40.62580645,-0.896144281445091,-0.0902440612290432,0.891991706322856
"251",1998,"December","LateFall",8,2168.00000023,40.62580645,-0.896144281445091,-0.0902440612290432,0.891991706322856
"252",1998,"December","Spring",0,2168.00000023,40.62580645,-0.896144281445091,-0.0902440612290432,0.891991706322856
"253",1998,"February","LateFall",0,3079.3571424,13019.71429,-0.586447542010846,2.62424091994806,2.68153068473433
"254",1998,"February","Winter",108,3079.3571424,13019.71429,-0.586447542010846,2.62424091994806,2.68153068473433
"255",1998,"February","Fall",37752,3079.3571424,13019.71429,-0.586447542010846,2.62424091994806,2.68153068473433
"256",1998,"February","Spring",12,3079.3571424,13019.71429,-0.586447542010846,2.62424091994806,2.68153068473433
"257",1998,"January","Fall",49386,7075.483871,-3268.870968,0.771513416375545,-0.782402012142513,1.22598400413698
"258",1998,"January","Winter",400,7075.483871,-3268.870968,0.771513416375545,-0.782402012142513,1.22598400413698
"259",1998,"January","LateFall",66,7075.483871,-3268.870968,0.771513416375545,-0.782402012142513,1.22598400413698
"260",1998,"January","Spring",0,7075.483871,-3268.870968,0.771513416375545,-0.782402012142513,1.22598400413698
"261",1998,"July","LateFall",0,7527.129033,-897.4193548,0.9249911558703,-0.286429602694935,-0.150040700790344
"262",1998,"July","Fall",288,7527.129033,-897.4193548,0.9249911558703,-0.286429602694935,-0.150040700790344
"263",1998,"July","Spring",0,7527.129033,-897.4193548,0.9249911558703,-0.286429602694935,-0.150040700790344
"264",1998,"July","Winter",0,7527.129033,-897.4193548,0.9249911558703,-0.286429602694935,-0.150040700790344
"265",1998,"June","LateFall",0,5024.517242,3906.4,0.074555387191349,0.718255395594393,1.2401212442561
"266",1998,"June","Winter",0,5024.517242,3906.4,0.074555387191349,0.718255395594393,1.2401212442561
"267",1998,"June","Fall",13890,5024.517242,3906.4,0.074555387191349,0.718255395594393,1.2401212442561
"268",1998,"June","Spring",564,5024.517242,3906.4,0.074555387191349,0.718255395594393,1.2401212442561
"269",1998,"March","Winter",196,2313.566667,8189.354839,-0.846677919705018,1.61400524738563,1.7414042168131
"270",1998,"March","Fall",3522,2313.566667,8189.354839,-0.846677919705018,1.61400524738563,1.7414042168131
"271",1998,"March","Spring",7288,2313.566667,8189.354839,-0.846677919705018,1.61400524738563,1.7414042168131
"272",1998,"March","LateFall",0,2313.566667,8189.354839,-0.846677919705018,1.61400524738563,1.7414042168131
"273",1998,"May","Winter",0,2385.9047616,5840.967742,-0.822096039563975,1.12285661912287,0.715276204833902
"274",1998,"May","Spring",16207,2385.9047616,5840.967742,-0.822096039563975,1.12285661912287,0.715276204833902
"275",1998,"May","Fall",29294,2385.9047616,5840.967742,-0.822096039563975,1.12285661912287,0.715276204833902
"276",1998,"May","LateFall",0,2385.9047616,5840.967742,-0.822096039563975,1.12285661912287,0.715276204833902
"277",1998,"November","Fall",58,4864.713333,-2411.836667,0.0202509358669141,-0.603159321766632,-0.401565764576289
"278",1998,"November","LateFall",36,4864.713333,-2411.836667,0.0202509358669141,-0.603159321766632,-0.401565764576289
"279",1998,"November","Winter",0,4864.713333,-2411.836667,0.0202509358669141,-0.603159321766632,-0.401565764576289
"280",1998,"November","Spring",0,4864.713333,-2411.836667,0.0202509358669141,-0.603159321766632,-0.401565764576289
"289",1999,"April","LateFall",0,4678.785185,-1332.723333,-0.0429310358763948,-0.377470365115822,0.0325653174149089
"290",1999,"April","Winter",435,4678.785185,-1332.723333,-0.0429310358763948,-0.377470365115822,0.0325653174149089
"291",1999,"April","Fall",16136,4678.785185,-1332.723333,-0.0429310358763948,-0.377470365115822,0.0325653174149089
"292",1999,"April","Spring",40455,4678.785185,-1332.723333,-0.0429310358763948,-0.377470365115822,0.0325653174149089
"301",1999,"February","LateFall",12,5197.0582014,1110.309643,0.133188133973586,0.133472782415487,1.70134870314227
"302",1999,"February","Winter",85,5197.0582014,1110.309643,0.133188133973586,0.133472782415487,1.70134870314227
"303",1999,"February","Fall",38845,5197.0582014,1110.309643,0.133188133973586,0.133472782415487,1.70134870314227
"304",1999,"February","Spring",74,5197.0582014,1110.309643,0.133188133973586,0.133472782415487,1.70134870314227
"305",1999,"January","Winter",56,4264.066667,-1700,-0.183860389325895,-0.454283694323945,0.18454064869541
